# GraphEngine System Export
# Generated: 2025-11-27T15:30:00.000Z
# System ID: GraphEngine.SY.001
# Workspace ID: demo-workspace
# Nodes: 184
# Edges: 412
#
# Format: Format E (Token-Efficient Serialization)
# File Extension: .txt (universal editor compatibility)
#
## Nodes
GraphEngine|SYS|GraphEngine.SY.001|TypeScript graph engine for systems engineering with LLM integration, Format-E serialization, and multi-view visualization [x:0,y:0,zoom:L2]
BroadcastChanges|UC|BroadcastChanges.UC.001|Broadcast graph changes to all connected WebSocket clients [x:0,y:0,zoom:L2]
ComputeLayout|UC|ComputeLayout.UC.001|Run layout algorithms based on view type [x:0,y:0,zoom:L2]
CachePrompts|UC|CachePrompts.UC.001|3-layer caching for 50-90% token savings [x:0,y:0,zoom:L2]
SystemEngineer|ACTOR|SystemEngineer.AC.001|User who defines systems through natural language chat [x:0,y:0,zoom:L2]
AnthropicClaude|ACTOR|AnthropicClaude.AC.001|LLM service providing SE guidance and operation generation [x:0,y:0,zoom:L2]
Neo4jDatabase|ACTOR|Neo4jDatabase.AC.001|Graph database for persistence and audit logging [x:0,y:0,zoom:L2]
UserRequestToGraphUpdate|FCHAIN|UserRequestToGraphUpdate.FC.001|Complete flow from user message to graph update and broadcast [x:0,y:0,zoom:L2]
LoadGraphFromPersistence|FCHAIN|LoadGraphFromPersistence.FC.001|Load graph on session start from Neo4j [x:0,y:0,zoom:L2]
ApplyDiffToCanvas|FCHAIN|ApplyDiffToCanvas.FC.001|Apply incremental Format-E diff to canvas state [x:0,y:0,zoom:L2]
ComputeLayoutForView|FCHAIN|ComputeLayoutForView.FC.001|Compute layout for specific view with port extraction [x:0,y:0,zoom:L2]
PersistDirtyState|FCHAIN|PersistDirtyState.FC.001|Save dirty nodes/edges to Neo4j with audit logging [x:0,y:0,zoom:L2]
StreamLLMResponse|FCHAIN|StreamLLMResponse.FC.001|Stream LLM response token-by-token with operation extraction [x:0,y:0,zoom:L2]
ProcessLLMRequest|FUNC|ProcessLLMRequest.FN.101|Main LLM request handler with streaming support [x:0,y:0,zoom:L2]
BuildSystemPrompt|FUNC|BuildSystemPrompt.FN.102|Constructs cached system prompt with ontology rules [x:0,y:0,zoom:L2]
ParseLLMResponse|FUNC|ParseLLMResponse.FN.103|Extracts text response and Format-E operations from LLM output [x:0,y:0,zoom:L2]
StreamTokens|FUNC|StreamTokens.FN.104|Streams LLM response tokens to UI in real-time [x:0,y:0,zoom:L2]
TrackTokenUsage|FUNC|TrackTokenUsage.FN.105|Logs token usage and cost metrics [x:0,y:0,zoom:L2]
ApplyDiff|FUNC|ApplyDiff.FN.201|Applies Format-E diff operations to canvas state [x:0,y:0,zoom:L2]
LoadGraph|FUNC|LoadGraph.FN.202|Loads graph from Neo4j or initializes empty state [x:0,y:0,zoom:L2]
GetCanvasState|FUNC|GetCanvasState.FN.203|Returns read-only snapshot of canvas state [x:0,y:0,zoom:L2]
MarkDirty|FUNC|MarkDirty.FN.204|Tracks dirty nodes/edges for incremental persistence [x:0,y:0,zoom:L2]
PersistToNeo4j|FUNC|PersistToNeo4j.FN.205|Saves dirty state to database in batches [x:0,y:0,zoom:L2]
ComputeGraphLayout|FUNC|ComputeGraphLayout.FN.301|Orchestrates layout computation based on view type [x:0,y:0,zoom:L2]
ApplyViewFilter|FUNC|ApplyViewFilter.FN.302|Filters nodes/edges according to view configuration [x:0,y:0,zoom:L2]
ExtractPorts|FUNC|ExtractPorts.FN.303|Extracts input/output ports from FLOW nodes [x:0,y:0,zoom:L2]
ComputeReingoldTilford|FUNC|ComputeReingoldTilford.FN.304|Tree layout algorithm for hierarchical views [x:0,y:0,zoom:L2]
ComputeSugiyama|FUNC|ComputeSugiyama.FN.305|Layered graph layout for functional-flow views [x:0,y:0,zoom:L2]
RouteOrthogonal|FUNC|RouteOrthogonal.FN.306|Manhattan routing for orthogonal edge drawing [x:0,y:0,zoom:L2]
ComputeRadial|FUNC|ComputeRadial.FN.307|Radial layout for use-case views [x:0,y:0,zoom:L2]
ComputeTreemap|FUNC|ComputeTreemap.FN.308|Nested containment layout for allocation views [x:0,y:0,zoom:L2]
CreateNode|FUNC|CreateNode.FN.401|Inserts node into Neo4j with MERGE pattern [x:0,y:0,zoom:L2]
UpdateNode|FUNC|UpdateNode.FN.402|Updates node properties in Neo4j [x:0,y:0,zoom:L2]
DeleteNode|FUNC|DeleteNode.FN.403|Removes node and incident edges from Neo4j [x:0,y:0,zoom:L2]
CreateRelationship|FUNC|CreateRelationship.FN.404|Inserts edge into Neo4j [x:0,y:0,zoom:L2]
QueryGraph|FUNC|QueryGraph.FN.405|Executes Cypher query to load graph state [x:0,y:0,zoom:L2]
BatchPersist|FUNC|BatchPersist.FN.406|Batch write operations for performance [x:0,y:0,zoom:L2]
CreateAuditLog|FUNC|CreateAuditLog.FN.407|Logs all operations for audit trail [x:0,y:0,zoom:L2]
RenderChat|FUNC|RenderChat.FN.501|Renders chat interface with messages and input [x:0,y:0,zoom:L2]
RenderGraph|FUNC|RenderGraph.FN.502|Renders ASCII graph visualization [x:0,y:0,zoom:L2]
HandleUserInput|FUNC|HandleUserInput.FN.503|Processes user input from terminal [x:0,y:0,zoom:L2]
DisplayStreamingTokens|FUNC|DisplayStreamingTokens.FN.504|Displays LLM tokens as they arrive [x:0,y:0,zoom:L2]
InitTmuxLayout|FUNC|InitTmuxLayout.FN.505|Initializes 4-terminal tmux layout [x:0,y:0,zoom:L2]
ParseFormatEDiff|FUNC|ParseFormatEDiff.FN.601|Parses Format-E diff string into operations [x:0,y:0,zoom:L2]
SerializeGraph|FUNC|SerializeGraph.FN.602|Converts graph to Format-E string [x:0,y:0,zoom:L2]
ValidateFormatESyntax|FUNC|ValidateFormatESyntax.FN.603|Checks Format-E syntax correctness [x:0,y:0,zoom:L2]
ExtractOperations|FUNC|ExtractOperations.FN.604|Extracts operations from Format-E diff [x:0,y:0,zoom:L2]
UserMessageFlow|FLOW|UserMessageFlow.FL.001|Natural language input from TerminalInterface to LLMIntegration [x:0,y:0,zoom:L2]
LLMResponseFlow|FLOW|LLMResponseFlow.FL.002|LLM response from LLMIntegration to CanvasManagement [x:0,y:0,zoom:L2]
CanvasStateFlow|FLOW|CanvasStateFlow.FL.003|Graph state from CanvasManagement to GraphVisualization [x:0,y:0,zoom:L2]
PersistenceRequestFlow|FLOW|PersistenceRequestFlow.FL.004|Persistence request from CanvasManagement to DataPersistence [x:0,y:0,zoom:L2]
LayoutResultFlow|FLOW|LayoutResultFlow.FL.005|Layout positions from GraphVisualization to TerminalInterface [x:0,y:0,zoom:L2]
BroadcastPayloadFlow|FLOW|BroadcastPayloadFlow.FL.006|WebSocket payload from CanvasManagement to WebSocketSync [x:0,y:0,zoom:L2]
FormatEDiffFlow|FLOW|FormatEDiffFlow.FL.007|Format-E diff from FormatESerialization to CanvasManagement [x:0,y:0,zoom:L2]
SystemPrompt|FLOW|SystemPrompt.FL.101|Cached system prompt with ontology rules and graph state [x:0,y:0,zoom:L2]
ParsedOperations|FLOW|ParsedOperations.FL.102|Extracted Format-E operations from LLM response [x:0,y:0,zoom:L2]
TokenStream|FLOW|TokenStream.FL.103|Real-time token stream for UI display [x:0,y:0,zoom:L2]
TokenUsageReport|FLOW|TokenUsageReport.FL.104|Token counts and cost metrics [x:0,y:0,zoom:L2]
DiffOperations|FLOW|DiffOperations.FL.201|Format-E diff operations to apply [x:0,y:0,zoom:L2]
DirtyState|FLOW|DirtyState.FL.202|Set of modified nodes/edges requiring persistence [x:0,y:0,zoom:L2]
FilteredGraph|FLOW|FilteredGraph.FL.301|Graph filtered by view configuration [x:0,y:0,zoom:L2]
PortDefinitions|FLOW|PortDefinitions.FL.302|Extracted input/output ports from FLOW nodes [x:0,y:0,zoom:L2]
ViewConfig|FLOW|ViewConfig.FL.303|Configuration for specific view type [x:0,y:0,zoom:L2]
CypherQuery|FLOW|CypherQuery.FL.401|Cypher query string for Neo4j [x:0,y:0,zoom:L2]
QueryResult|FLOW|QueryResult.FL.402|Result set from Neo4j query [x:0,y:0,zoom:L2]
BatchOperations|FLOW|BatchOperations.FL.403|Batch of write operations for Neo4j [x:0,y:0,zoom:L2]
AuditEntry|FLOW|AuditEntry.FL.404|Audit log entry for operation tracking [x:0,y:0,zoom:L2]
NaturalLanguageInterface|REQ|NaturalLanguageInterface.RQ.001|Terminal UI with chat interface, streaming responses, multi-turn context [x:0,y:0,zoom:L2]
OntologyCompliance|REQ|OntologyCompliance.RQ.002|10 node types, 6 edge types, semantic ID format [x:0,y:0,zoom:L2]
MultiTenancy|REQ|MultiTenancy.RQ.003|Workspace isolation, access control (owner/admin/editor/viewer) [x:0,y:0,zoom:L2]
CanvasStateManagement|REQ|CanvasStateManagement.RQ.004|In-memory working state, dirty tracking, persistence logic [x:0,y:0,zoom:L2]
FiveSpecializedViews|REQ|FiveSpecializedViews.RQ.005|Hierarchy, Functional-Flow, Requirements, Allocation, Architecture views [x:0,y:0,zoom:L2]
FormatESerialization|REQ|FormatESerialization.RQ.006|>70% token reduction, diff operations, validation [x:0,y:0,zoom:L2]
LLMAutoDerivation|REQ|LLMAutoDerivation.RQ.007|Automatic derivation of UC->FUNC, REQ->TEST relationships [x:0,y:0,zoom:L2]
ValidationAdvisor|REQ|ValidationAdvisor.RQ.008|Ontology rules validation, explain violations, suggest fixes [x:0,y:0,zoom:L2]
AuditLogging|REQ|AuditLogging.RQ.009|All operations logged to Neo4j, queryable [x:0,y:0,zoom:L2]
PromptCaching|REQ|PromptCaching.RQ.010|Anthropic native + AgentDB caching, 50-90% token savings [x:0,y:0,zoom:L2]
LayoutPerformance|REQ|LayoutPerformance.RQ.011|Layout computation <2s for 1000 nodes [x:0,y:0,zoom:L2]
LLMResponseTime|REQ|LLMResponseTime.RQ.012|Time to first token <500ms, streaming <50ms per token [x:0,y:0,zoom:L2]
RenderingPerformance|REQ|RenderingPerformance.RQ.013|60fps for <500 nodes [x:0,y:0,zoom:L2]
GraphScalability|REQ|GraphScalability.RQ.014|Support 10000 nodes, 50000 edges per workspace [x:0,y:0,zoom:L2]
ConcurrentUsers|REQ|ConcurrentUsers.RQ.015|10 users per workspace, 100 users total [x:0,y:0,zoom:L2]
DataPersistenceReq|REQ|DataPersistenceReq.RQ.016|Auto-save every 5 min, recover from crash within 10s [x:0,y:0,zoom:L2]
TestNaturalLanguageChat|TEST|TestNaturalLanguageChat.TC.001|E2E test: user sends message, receives streaming response [x:0,y:0,zoom:L2]
TestOntologyValidation|TEST|TestOntologyValidation.TC.002|Unit test: validate semantic ID format and edge constraints [x:0,y:0,zoom:L2]
TestMultiTenantIsolation|TEST|TestMultiTenantIsolation.TC.003|Integration test: workspace isolation between users [x:0,y:0,zoom:L2]
TestCanvasDiffApplication|TEST|TestCanvasDiffApplication.TC.004|Unit test: apply Format-E diff operations correctly [x:0,y:0,zoom:L2]
TestViewSwitching|TEST|TestViewSwitching.TC.005|E2E test: switch between 5 views, verify layout [x:0,y:0,zoom:L2]
TestFormatEParsing|TEST|TestFormatEParsing.TC.006|Unit test: parse Format-E, verify 70% token reduction [x:0,y:0,zoom:L2]
TestAutoDerivation|TEST|TestAutoDerivation.TC.007|Integration test: UC->FUNC derivation produces valid functions [x:0,y:0,zoom:L2]
TestValidationRules|TEST|TestValidationRules.TC.008|Unit test: validate ontology rules [x:0,y:0,zoom:L2]
TestAuditLogQuery|TEST|TestAuditLogQuery.TC.009|Integration test: query audit logs by chatId [x:0,y:0,zoom:L2]
TestPromptCacheHit|TEST|TestPromptCacheHit.TC.010|Integration test: verify cache hit returns cached response [x:0,y:0,zoom:L2]
TestLayoutSpeed|TEST|TestLayoutSpeed.TC.011|Performance test: layout 1000 nodes in <2s [x:0,y:0,zoom:L2]
TestCrashRecovery|TEST|TestCrashRecovery.TC.012|E2E test: recover graph state after simulated crash [x:0,y:0,zoom:L2]
GraphEngineRoot|MOD|GraphEngineRoot.MD.001|Root module containing all source code (src/) [x:0,y:0,zoom:L2]
CanvasModule|MOD|CanvasModule.MD.001|Canvas state management layer (src/canvas/) [x:0,y:0,zoom:L2]
GraphEngineModule|MOD|GraphEngineModule.MD.002|Layout and view filtering layer (src/graph-engine/) [x:0,y:0,zoom:L2]
LLMEngineModule|MOD|LLMEngineModule.MD.003|LLM integration layer (src/llm-engine/) [x:0,y:0,zoom:L2]
Neo4jClientModule|MOD|Neo4jClientModule.MD.004|Database persistence layer (src/neo4j-client/) [x:0,y:0,zoom:L2]
TerminalUIModule|MOD|TerminalUIModule.MD.005|Terminal interface layer (src/terminal-ui/) [x:0,y:0,zoom:L2]
SharedModule|MOD|SharedModule.MD.006|Shared utilities and types (src/shared/) [x:0,y:0,zoom:L2]
LayoutModule|MOD|LayoutModule.MD.007|Layout algorithm implementations (src/layout/) [x:0,y:0,zoom:L2]
CanvasBaseFile|MOD|CanvasBaseFile.MD.101|Base canvas implementation (canvas-base.ts) [x:0,y:0,zoom:L2]
GraphCanvasFile|MOD|GraphCanvasFile.MD.102|Graph state manager (graph-canvas.ts) [x:0,y:0,zoom:L2]
ChatCanvasFile|MOD|ChatCanvasFile.MD.103|Chat state manager (chat-canvas.ts) [x:0,y:0,zoom:L2]
WebSocketServerFile|MOD|WebSocketServerFile.MD.104|Broadcasting server (websocket-server.ts) [x:0,y:0,zoom:L2]
WebSocketClientFile|MOD|WebSocketClientFile.MD.105|Client-side WebSocket handler (websocket-client.ts) [x:0,y:0,zoom:L2]
GraphEngineImplFile|MOD|GraphEngineImplFile.MD.201|Main graph engine (graph-engine.ts) [x:0,y:0,zoom:L2]
ViewFilterFile|MOD|ViewFilterFile.MD.202|View filtering logic (view-filter.ts) [x:0,y:0,zoom:L2]
PortExtractorFile|MOD|PortExtractorFile.MD.203|Port extraction (port-extractor.ts) [x:0,y:0,zoom:L2]
ReingoldTilfordFile|MOD|ReingoldTilfordFile.MD.204|Tree layout (reingold-tilford.ts) [x:0,y:0,zoom:L2]
LLMEngineImplFile|MOD|LLMEngineImplFile.MD.301|Main LLM engine (llm-engine.ts) [x:0,y:0,zoom:L2]
PromptBuilderFile|MOD|PromptBuilderFile.MD.302|Prompt construction (prompt-builder.ts) [x:0,y:0,zoom:L2]
ResponseParserFile|MOD|ResponseParserFile.MD.303|Response parsing (response-parser.ts) [x:0,y:0,zoom:L2]
AgentDBServiceFile|MOD|AgentDBServiceFile.MD.304|AgentDB caching service (agentdb/agentdb-service.ts) [x:0,y:0,zoom:L2]
Neo4jClientImplFile|MOD|Neo4jClientImplFile.MD.401|Database client (neo4j-client.ts) [x:0,y:0,zoom:L2]
SessionManagerFile|MOD|SessionManagerFile.MD.402|Session management (session-manager.ts) [x:0,y:0,zoom:L2]
ChatInterfaceFile|MOD|ChatInterfaceFile.MD.501|Chat UI (chat-interface.ts) [x:0,y:0,zoom:L2]
GraphViewerFile|MOD|GraphViewerFile.MD.502|ASCII graph rendering (graph-viewer.ts) [x:0,y:0,zoom:L2]
AsciiGridFile|MOD|AsciiGridFile.MD.503|2D ASCII grid renderer (ascii-grid.ts) [x:0,y:0,zoom:L2]
AppFile|MOD|AppFile.MD.504|Main application (app.ts) [x:0,y:0,zoom:L2]
ParsersModule|MOD|ParsersModule.MD.601|Parser implementations (src/shared/parsers/) [x:0,y:0,zoom:L2]
TypesModule|MOD|TypesModule.MD.602|Type definitions (src/shared/types/) [x:0,y:0,zoom:L2]
ConfigFile|MOD|ConfigFile.MD.603|Configuration (config.ts) [x:0,y:0,zoom:L2]
FormatEParserFile|MOD|FormatEParserFile.MD.604|Format-E parser (format-e-parser.ts) [x:0,y:0,zoom:L2]
OntologyTypesFile|MOD|OntologyTypesFile.MD.605|Ontology types (ontology.ts) [x:0,y:0,zoom:L2]
RadialLayoutFile|MOD|RadialLayoutFile.MD.701|Radial layout (radial.ts) [x:0,y:0,zoom:L2]
OrthogonalLayoutFile|MOD|OrthogonalLayoutFile.MD.702|Orthogonal layout (orthogonal.ts) [x:0,y:0,zoom:L2]
SugiyamaLayoutFile|MOD|SugiyamaLayoutFile.MD.703|Sugiyama layout (sugiyama.ts) [x:0,y:0,zoom:L2]
TreemapLayoutFile|MOD|TreemapLayoutFile.MD.704|Treemap layout (treemap.ts) [x:0,y:0,zoom:L2]
CanvasStateSchema|SCHEMA|CanvasStateSchema.SC.002|GraphCanvasState, ChatCanvasState, Operation, DiffResult [x:0,y:0,zoom:L2]
ViewTypesSchema|SCHEMA|ViewTypesSchema.SC.004|ViewType, ViewConfig, ViewFilter, LayoutConfig [x:0,y:0,zoom:L2]
LayoutTypesSchema|SCHEMA|LayoutTypesSchema.SC.005|LayoutResult, Position, Port, EdgeRoute [x:0,y:0,zoom:L2]
LLMTypesSchema|SCHEMA|LLMTypesSchema.SC.006|LLMRequest, LLMResponse, StreamChunk, TokenUsage [x:0,y:0,zoom:L2]
Neo4jTypesSchema|SCHEMA|Neo4jTypesSchema.SC.007|Neo4jNode, Neo4jRelationship, CypherQuery, QueryResult [x:0,y:0,zoom:L2]
FormatESerializationModule|MOD|FormatESerializationModule.MD.008|Format-E parsing, serialization, and validation module [x:0,y:0,zoom:L2]
ClientManagement|FUNC|ClientManagement.FN.008|Multi-user client synchronization: broadcast updates, manage connections, sync state [x:0,y:0,zoom:L2]
BroadcastUpdate|FUNC|BroadcastUpdate.FN.801|Broadcast Format-E diffs to all connected clients [x:0,y:0,zoom:L2]
SyncClientState|FUNC|SyncClientState.FN.802|Synchronize client state with current canvas [x:0,y:0,zoom:L2]
ManageConnections|FUNC|ManageConnections.FN.803|Handle client connect/disconnect, session management [x:0,y:0,zoom:L2]
SyncClients|FCHAIN|SyncClients.FC.008|Broadcast canvas changes to all connected clients [x:0,y:0,zoom:L2]
StreamingProtocol|SCHEMA|StreamingProtocol.SC.009|Token-by-token streaming protocol with backpressure [x:0,y:0,zoom:L2]
PlainTextFormat|SCHEMA|PlainTextFormat.SC.010|Unstructured plain text format [x:0,y:0,zoom:L2]
RequestResponseProtocol|SCHEMA|RequestResponseProtocol.SC.011|Synchronous request-response communication [x:0,y:0,zoom:L2]
WebSocketProtocol|SCHEMA|WebSocketProtocol.SC.012|Bidirectional WebSocket communication protocol [x:0,y:0,zoom:L2]
FormatETypes|SCHEMA|FormatETypes.SC.001|Unified Format-E type system: Node, Edge, NodeType, EdgeType, SemanticId, FormatEDiff, Operations, Transport serialization [x:0,y:0,zoom:L2]
MultiAgentArchitecture|UC|MultiAgentArchitecture.UC.002|CR-024: Specialized agents for requirements, architecture, review, and functional analysis with INCOSE compliance [x:0,y:0,zoom:L2]
CoordinateAgents|FUNC|CoordinateAgents.FN.901|Orchestrates multi-agent workflow: requirements→architect→reviewer→analyst [x:0,y:0,zoom:L2]
ValidateArchitecture|FUNC|ValidateArchitecture.FN.902|Validates graph against INCOSE/SysML 2.0 rules, generates V1-V10 errors/warnings [x:0,y:0,zoom:L2]
ClassifyNodeType|FUNC|ClassifyNodeType.FN.903|Decision tree for node type classification: FUNC vs SCHEMA vs FLOW [x:0,y:0,zoom:L2]
GenerateAgentPrompts|FUNC|GenerateAgentPrompts.FN.904|Generates role-specific prompts for each agent type [x:0,y:0,zoom:L2]
ExecuteReviewFlow|FUNC|ExecuteReviewFlow.FN.905|Manages review cycle with user feedback integration [x:0,y:0,zoom:L2]
BuildDecisionQueries|FUNC|BuildDecisionQueries.FN.906|Generates Cypher queries for validation checks [x:0,y:0,zoom:L2]
AgentsModule|MOD|AgentsModule.MD.901|Multi-agent system module (src/llm-engine/agents/) [x:0,y:0,zoom:L2]
AgentCoordinatorFile|MOD|AgentCoordinatorFile.MD.902|Agent coordinator (agent-coordinator.ts) [x:0,y:0,zoom:L2]
ArchitectureValidatorFile|MOD|ArchitectureValidatorFile.MD.903|Architecture validator (architecture-validator.ts) [x:0,y:0,zoom:L2]
DecisionTreeFile|MOD|DecisionTreeFile.MD.904|Decision tree (decision-tree.ts) [x:0,y:0,zoom:L2]
AgentPromptsFile|MOD|AgentPromptsFile.MD.905|Agent prompts (agent-prompts.ts) [x:0,y:0,zoom:L2]
ReviewFlowFile|MOD|ReviewFlowFile.MD.906|Review flow (review-flow.ts) [x:0,y:0,zoom:L2]
ValidationQueriesFile|MOD|ValidationQueriesFile.MD.907|Validation queries (validation-queries.ts) [x:0,y:0,zoom:L2]
AgentTypesFile|MOD|AgentTypesFile.MD.908|Agent types (types.ts) [x:0,y:0,zoom:L2]
MultiAgentProcessorFile|MOD|MultiAgentProcessorFile.MD.909|Multi-agent processor (multi-agent-processor.ts) [x:0,y:0,zoom:L2]
TerminalGraphicsFile|MOD|TerminalGraphicsFile.MD.506|2D terminal graphics layer (terminal-graphics.ts) [x:0,y:0,zoom:L2]
AutoDerivationFile|MOD|AutoDerivationFile.MD.305|Auto-derivation logic (auto-derivation.ts) [x:0,y:0,zoom:L2]
AgentHandoffFlow|FLOW|AgentHandoffFlow.FL.901|Agent-to-agent handoff with graph snapshot and context [x:0,y:0,zoom:L2]
ValidationResultFlow|FLOW|ValidationResultFlow.FL.902|Validation errors/warnings from architecture validator [x:0,y:0,zoom:L2]

## Edges
GraphEngine.SY.001 -cp-> LLMIntegration.FN.001
GraphEngine.SY.001 -cp-> CanvasManagement.FN.002
GraphEngine.SY.001 -cp-> GraphVisualization.FN.003
GraphEngine.SY.001 -cp-> DataPersistence.FN.004
GraphEngine.SY.001 -cp-> TerminalInterface.FN.005
GraphEngine.SY.001 -cp-> FormatESerialization.FN.006
GraphEngine.SY.001 -cp-> WebSocketSync.FN.007
GraphEngine.SY.001 -cp-> DefineSystemViaChat.UC.001
GraphEngine.SY.001 -cp-> VisualizeMultipleViews.UC.001
GraphEngine.SY.001 -cp-> LLMGuidedModeling.UC.001
GraphEngine.SY.001 -cp-> AutoDeriveStructures.UC.001
GraphEngine.SY.001 -cp-> ValidateOntology.UC.001
GraphEngine.SY.001 -cp-> CollaborateMultiUser.UC.001
GraphEngine.SY.001 -cp-> PersistAndRecover.UC.001
GraphEngine.SY.001 -cp-> StreamLLMResponses.UC.001
GraphEngine.SY.001 -cp-> ManageGraphState.UC.001
GraphEngine.SY.001 -cp-> SyncTerminalViews.UC.001
GraphEngine.SY.001 -cp-> LoadGraphFromNeo4j.UC.001
GraphEngine.SY.001 -cp-> ApplyIncrementalDiff.UC.001
GraphEngine.SY.001 -cp-> BroadcastChanges.UC.001
GraphEngine.SY.001 -cp-> ComputeLayout.UC.001
GraphEngine.SY.001 -cp-> CachePrompts.UC.001
GraphEngine.SY.001 -cp-> GraphEngineRoot.MD.001
LLMIntegration.FN.001 -cp-> ProcessLLMRequest.FN.101
LLMIntegration.FN.001 -cp-> BuildSystemPrompt.FN.102
LLMIntegration.FN.001 -cp-> ParseLLMResponse.FN.103
LLMIntegration.FN.001 -cp-> StreamTokens.FN.104
LLMIntegration.FN.001 -cp-> TrackTokenUsage.FN.105
CanvasManagement.FN.002 -cp-> ApplyDiff.FN.201
CanvasManagement.FN.002 -cp-> LoadGraph.FN.202
CanvasManagement.FN.002 -cp-> GetCanvasState.FN.203
CanvasManagement.FN.002 -cp-> MarkDirty.FN.204
CanvasManagement.FN.002 -cp-> PersistToNeo4j.FN.205
GraphVisualization.FN.003 -cp-> ComputeGraphLayout.FN.301
GraphVisualization.FN.003 -cp-> ApplyViewFilter.FN.302
GraphVisualization.FN.003 -cp-> ExtractPorts.FN.303
GraphVisualization.FN.003 -cp-> ComputeReingoldTilford.FN.304
GraphVisualization.FN.003 -cp-> ComputeSugiyama.FN.305
GraphVisualization.FN.003 -cp-> RouteOrthogonal.FN.306
GraphVisualization.FN.003 -cp-> ComputeRadial.FN.307
GraphVisualization.FN.003 -cp-> ComputeTreemap.FN.308
DataPersistence.FN.004 -cp-> CreateNode.FN.401
DataPersistence.FN.004 -cp-> UpdateNode.FN.402
DataPersistence.FN.004 -cp-> DeleteNode.FN.403
DataPersistence.FN.004 -cp-> CreateRelationship.FN.404
DataPersistence.FN.004 -cp-> QueryGraph.FN.405
DataPersistence.FN.004 -cp-> BatchPersist.FN.406
DataPersistence.FN.004 -cp-> CreateAuditLog.FN.407
TerminalInterface.FN.005 -cp-> RenderChat.FN.501
TerminalInterface.FN.005 -cp-> RenderGraph.FN.502
TerminalInterface.FN.005 -cp-> HandleUserInput.FN.503
TerminalInterface.FN.005 -cp-> DisplayStreamingTokens.FN.504
TerminalInterface.FN.005 -cp-> InitTmuxLayout.FN.505
FormatESerialization.FN.006 -cp-> ParseFormatEDiff.FN.601
FormatESerialization.FN.006 -cp-> SerializeGraph.FN.602
FormatESerialization.FN.006 -cp-> ValidateFormatESyntax.FN.603
FormatESerialization.FN.006 -cp-> ExtractOperations.FN.604
WebSocketSync.FN.007 -cp-> BroadcastUpdate.FN.701
WebSocketSync.FN.007 -cp-> SerializeToFormatE.FN.702
TerminalInterface.FN.005 -io-> UserMessageFlow.FL.001
UserMessageFlow.FL.001 -io-> LLMIntegration.FN.001
LLMIntegration.FN.001 -io-> LLMResponseFlow.FL.002
LLMResponseFlow.FL.002 -io-> CanvasManagement.FN.002
